Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
1	train	1.21, 1.29, 1.61, 1.55	0.81, 0.07, 0.00, 0.13	0.19, 0.94, 1.00, 0.88	0.50, 0.51, 0.50, 0.50	0.50, 0.50, 0.50, 0.51	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
1	valid	1.53, 1.52, 1.52, 1.06	0.00, 0.00, 0.00, 1.00	1.00, 1.00, 1.00, 0.00	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.26, 0.46, 0.42, 0.37
2	train	1.12, 1.44, 1.45, 1.20	0.92, 0.00, 0.00, 0.75	0.60, 1.00, 1.00, 0.62	0.90, 0.89, 0.89, 0.91	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.70, 0.62, 0.72
2	valid	1.10, 1.43, 1.44, 1.23	0.95, 0.00, 0.00, 0.65	0.49, 1.00, 1.00, 0.73	0.91, 0.90, 0.90, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.80, 0.67, 0.62, 0.71
3	train	1.09, 1.43, 1.44, 1.18	0.96, 0.00, 0.00, 0.76	0.55, 1.00, 1.00, 0.68	0.92, 0.91, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.74, 0.68, 0.76
3	valid	1.10, 1.44, 1.44, 1.19	0.95, 0.00, 0.00, 0.75	0.55, 1.00, 1.00, 0.71	0.90, 0.89, 0.90, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.73, 0.68, 0.76
4	train	1.08, 1.43, 1.43, 1.18	0.97, 0.00, 0.00, 0.75	0.48, 1.00, 1.00, 0.75	0.93, 0.92, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.78, 0.72, 0.79
4	valid	1.13, 1.42, 1.42, 1.20	0.95, 0.00, 0.00, 0.73	0.46, 1.00, 1.00, 0.78	0.88, 0.87, 0.88, 0.90	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.77, 0.74, 0.79
5	train	1.09, 1.42, 1.43, 1.16	0.97, 0.00, 0.00, 0.78	0.47, 1.00, 1.00, 0.77	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.81, 0.77, 0.82
5	valid	1.06, 1.44, 1.44, 1.21	0.98, 0.00, 0.00, 0.65	0.35, 1.00, 1.00, 0.87	0.94, 0.91, 0.93, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.78, 0.75, 0.79
6	train	1.08, 1.42, 1.42, 1.16	0.98, 0.00, 0.00, 0.76	0.42, 1.00, 1.00, 0.82	0.93, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.82, 0.78, 0.83
6	valid	1.08, 1.42, 1.42, 1.19	0.97, 0.00, 0.00, 0.71	0.39, 1.00, 1.00, 0.85	0.93, 0.91, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.80, 0.77, 0.81
7	train	1.08, 1.42, 1.42, 1.15	0.98, 0.00, 0.00, 0.78	0.43, 1.00, 1.00, 0.82	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.84, 0.80, 0.84
7	valid	1.08, 1.42, 1.42, 1.22	0.98, 0.00, 0.00, 0.62	0.31, 1.00, 1.00, 0.90	0.92, 0.90, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.77, 0.74, 0.78
8	train	1.08, 1.41, 1.42, 1.15	0.98, 0.00, 0.00, 0.78	0.42, 1.00, 1.00, 0.83	0.93, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.84, 0.81, 0.85
8	valid	1.09, 1.42, 1.42, 1.16	0.96, 0.00, 0.00, 0.76	0.43, 1.00, 1.00, 0.82	0.92, 0.90, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.82, 0.80, 0.83
9	train	1.08, 1.42, 1.42, 1.14	0.98, 0.00, 0.00, 0.79	0.42, 1.00, 1.00, 0.84	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.85, 0.81, 0.85
9	valid	1.08, 1.42, 1.42, 1.17	0.97, 0.00, 0.00, 0.73	0.41, 1.00, 1.00, 0.84	0.92, 0.90, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.81, 0.79, 0.83
